id	label	synonyms	umls
NCIT:C112006	Thymoma by Masaoka-Koga Stage	Masaoka Staging | Masaoka Staging System | Masaoka Staging System for Thymoma | Masaoka-Koga Staging System for Thymoma	C3827366
NCIT:C112007	Masaoka-Koga Stage I	Masaoka Stage I | Stage I	C3829188
NCIT:C112008	Masaoka-Koga Stage IIa	Masaoka Stage IIa | Stage IIa	C3829187
NCIT:C112009	Masaoka-Koga Stage IIb	Masaoka Stage IIb | Stage IIb	C3829186
NCIT:C112010	Masaoka-Koga Stage III	Masaoka Stage III | Stage III	C3829185
NCIT:C112011	Masaoka-Koga Stage IVa	Masaoka Stage IVa | Stage IVa	C3829184
NCIT:C112012	Masaoka-Koga Stage IVb	Masaoka Stage IVb | Stage IVb	C3829183
NCIT:C112019	Surgical Site Infection		C2316459
NCIT:C112116	Eosinophilic Fasciitis	Shulman Syndrome	C0264005
NCIT:C112117	Vascular Malformation		
NCIT:C112122	Acute Generalized Exanthematous Pustulosis		C0877055
NCIT:C112124	Pseudoporphyria		C0521616
NCIT:C112181	Tinea Infection	Tinea	C0040247
NCIT:C112183	Blepharitis		C0686366
NCIT:C112189	Bulbar Conjunctivitis	Episcleritis	C0014583
NCIT:C112197	Enanthem		C0014034
NCIT:C112198	Angular Cheilitis	Cheilosis | Perleche | Perlèche	C0221237
NCIT:C112200	Telogen Effluvium		C0263518
NCIT:C112202	Red Man Syndrome		C1306792
NCIT:C112203	Drug Induced Cutaneous Lupus Erythematosus		C3830391
NCIT:C112204	Drug Induced Cutaneous Vasculitis	Drug Induced Vasculitis	C3812646
NCIT:C112208	Drug Hypersensitivity Syndrome	DHS | DRESS | Drug Reaction with Eosinophilia and Systemic Symptoms	C3541994
NCIT:C112209	Anticonvulsant Hypersensitivity Syndrome	Anti-Convulsant Hypersensitivity Syndrome	C3810813
NCIT:C112210	Cutaneous Vasculitis		C0262988
NCIT:C112214	Onychomycosis	Tinea Unguium	C0040261
NCIT:C112275	Experimental Organism Benign Polyp	POLYP, BENIGN	C0747742
NCIT:C112276	Experimental Organism Benign Seminoma	SEMINOMA, BENIGN	C3830294
NCIT:C112831	Ichthyosis Acquisita	Acquired Ichthyosis	C0263386
NCIT:C112833	Tinea Versicolor		C0040262
NCIT:C112836	Thyroid Storm		C0040127
NCIT:C112840	Adrenal Crisis	Acute Adrenal Insufficiency | Addisonian Crisis	C0151467
NCIT:C112841	Chronic Maternal Hypertension	Pre-existing essential hypertension complicating pregnancy, unspecified trimester | Unspecified pre-existing hypertension complicating pregnancy, unspecified trimester	C3827254
NCIT:C112842	Chronic Maternal Hypertension with Superimposed Preeclampsia	Pre-existing hypertension with pre-eclampsia, unspecified trimester	C3831106
NCIT:C112843	Severe Preeclampsia	Preeclampsia with Severe Features	C4228546
NCIT:C112844	Gestational Diabetes Mellitus, A1	Gestational Diabetes Mellitus, A1 White Classification | Gestational Diabetes, A1 White Classification	C0271662
NCIT:C112845	Gestational Diabetes Mellitus, A2	Gestational Diabetes Mellitus, A2 White Classification | Gestational Diabetes, A2 White Classification	C0271663
NCIT:C112865	Transient Myocardial Ischemia of Newborn		C0349467
NCIT:C113143	Primary Hypothyroidism		C3550540
NCIT:C113144	Central Hypothyroidism	Hypothalamic-Pituitary Hypothyroidism | Secondary Hypothyroidism | Thyroid Stimulating Hormone Deficiency | Thyrotropin Deficiency | TSH Deficiency	C0271801
NCIT:C113145	Primary Hyperthyroidism		C3714618
NCIT:C113146	Central Hyperthyroidism		C1095928
NCIT:C113147	Hashitoxicosis	Hashimoto Toxicosis	C0342124
NCIT:C113156	Transient Myocardial Dysfunction of Newborn		C3897348
NCIT:C113159	Pneumonitis		C3714636
NCIT:C113169	Insulin Resistance Syndrome		C3714619
NCIT:C113170	Sick Euthyroid Syndrome	Euthyroid Sick Syndrome	C0015190
NCIT:C113171	Transient Hypothyroxinemia of Prematurity	Hypothyroxinemia of Prematurity | THOP | Transient Congenital Hypothyroidism	C3827793
NCIT:C113172	Primary Adrenal Insufficiency		C3887896
NCIT:C113210	Cushing Disease	ACTH Producing Pituitary Adenoma | Cushing's Disease	C0221406
NCIT:C113214	Primary Hypoparathyroidism		C3828476
NCIT:C113238	Uterine Malignant Mixed Mesodermal (Mullerian) Tumor, Homologous Type		C3827677
NCIT:C113239	Uterine Malignant Mixed Mesodermal (Mullerian) Tumor, Heterologous Type		C3827678
NCIT:C113335	Secondary Hyperparathyroidism		C0020503
NCIT:C113338	Premature Menarche		C0342548
NCIT:C113339	Primary Amenorrhea	Delayed Menarche	C4015004
NCIT:C113340	Secondary Amenorrhea		C4013511
NCIT:C113341	Oligomenorrhea		C3806213
NCIT:C113347	Hypogonadotropic Hypogonadism	Central Hypogonadism | Secondary Hypogonadism	C4230369
NCIT:C113348	Hypergonadotropic Hypogonadism	Primary Gonadal Failure	C4013694
NCIT:C113351	Ovarian Failure	Ovarian Hypofunction | Ovarian Insufficiency	C0747102
NCIT:C113352	Primary Ovarian Failure	Hypergonadotropic Hypogonadism (Female) | primary ovarian insufficiency	C3277370
NCIT:C113385	Placenta Increta		C0266765
NCIT:C113386	Placenta Percreta		C0266766
NCIT:C113387	Low-Lying Placenta		C2081572
NCIT:C113397	Sandifer's Syndrome	Sandifer Syndrome	C0338465
NCIT:C113400	Hepatorenal Syndrome		C0019212
NCIT:C113421	Gray Baby Syndrome	Gray Syndrome | Grey Syndrome	C0270276
NCIT:C113422	Diethylstilbestrol Syndrome	Fetal Diethylstilbestrol Syndrome	C0853695
NCIT:C113485	Diabetic Embryopathy		C3830518
NCIT:C113609	Chronic Liver Disease		C0341439
NCIT:C113615	Proctalgia Fugax		C0423738
NCIT:C113664	Main Duct Pancreatic Intraductal Papillary-Mucinous Neoplasm	Pancreatic MD-IPMN	C3826981
NCIT:C113665	Branch Duct Pancreatic Intraductal Papillary-Mucinous Neoplasm	Pancreatic BD-IPMN | Pancreatic SB-IPMN | Side Branch Pancreatic Intraductal Papillary-Mucinous Neoplasm	C3826890
NCIT:C113667	Mixed Type Pancreatic Intraductal Papillary-Mucinous Neoplasm	Mixed Type Pancreatic IPMN	C3829003
NCIT:C113669	Disseminated Bacillus Calmette-Guerin Infection	BCGosis | Disseminated Bacillus Calmette-Guérin Infection | Disseminated BCG Infection | Disseminated BCGitis	C3830467
NCIT:C113671	Vaccine-Associated Paralytic Poliomyelitis	OPV associated Paralytic Poliomyelitis | VAPP	C1405308
NCIT:C113672	Disseminated Oka Varicella Zoster Virus Infection	Disseminated Oka VZV Infection | Disseminated Varicella Zoster Vaccine Virus Infection	C3830466
NCIT:C113673	Reactive Airway Disease	Hyperactive Airway Disease | Reactive Airway Disease (AQ)	C3714497
NCIT:C113723	Scleroderma Polymyositis Overlap Syndrome	Scleroderma Polymyositis	C2103575
NCIT:C113740	Hyperfibrinogenemia	Fibrinogenemia	C0919890
NCIT:C113749	Acute Hemorrhagic Edema of Infancy		C2938937
NCIT:C113814	Autoimmune Primary Adrenal Insufficiency	Autoimmune Addison's Disease | Autoimmune Adrenalitis	C0271737
NCIT:C113824	Twin-Twin Transfusion Syndrome	Placental Transfusion Syndrome | Stuck Twin Syndrome | TTTS	C2909036
