id	label	synonyms	snomed	omop	doid	mondo	nci	icd10	orphanet	omim	umls	mesh
ORPHA:727178	KCNE2-related isolated congenital long QT syndrome	KCNE2-related Isolated congenital LQTS | LQTS type 6							727178	613693		
ORPHA:261733	OBSOLETE: Anomaly of chromosome 12								261733			
ORPHA:2501	Metaphyseal chondrodysplasia, Spahr type								2501	250400	C0432225	C537353
ORPHA:727203	SCN5A-related isolated congenital long QT syndrome	LQTS type 3 | SCN5A-related isolated congenital LQTS							727203	603830		
ORPHA:261754	OBSOLETE: Anomaly of chromosome 19								261754			
ORPHA:2506	Michels syndrome	3MC1 syndrome | Oculopalatoskeletal syndrome							2506	257920	C0796059	
ORPHA:727192	Calmodulin-related isolated congenital long QT syndrome	Calmodulin-related isolated congenital LQTS							727192			
ORPHA:2507	OBSOLETE: Mickleson syndrome								2507			
ORPHA:261751	OBSOLETE: Anomaly of chromosome 18								261751			
ORPHA:727296	Progressive muscle weakness-respiratory insufficiency-learning difficulty syndrome	CIAO1-related myopathy							727296	620960		
ORPHA:261748	OBSOLETE: Anomaly of chromosome 17								261748			
ORPHA:2504	Metaphyseal dysplasia-maxillary hypoplasia-brachydacty syndrome								2504	156510	C4510380	
ORPHA:261745	OBSOLETE: Anomaly of chromosome 16								261745			
ORPHA:2505	Multiple benign circumferential skin creases on limbs	CCSF | Circumferential skin creases, Kunze type | Congenital circumferential skin folds | Kunze-Riehm syndrome							2505	156610	C0473586	C537575
ORPHA:261763	OBSOLETE: Anomaly of chromosome 22								261763			
ORPHA:2511	Microbrachycephaly-ptosis-cleft lip syndrome	Richieri Costa-Guion Almeida-Ramos syndrome							2511	268850	C4518461	
ORPHA:261766	Partial deletion of chromosome 1 syndrome	Partial monosomy of chromosome 1							261766		C5679647	
ORPHA:2510	Micro syndrome	WARBM | Warburg micro syndrome							2510	600118	C5442005	
ORPHA:727394	Autosomal recessive KLF1-related severe anemia	Congenital dyserythropoietic anemia type IVb | Congenital dyserythropoietic anemia type 4b | CDA type IVb | CDA type 4b							727394	620969		
ORPHA:261757	OBSOLETE: Anomaly of chromosome 20								261757			
ORPHA:261760	OBSOLETE: Anomaly of chromosome 21								261760			
