id	label	synonyms	snomed	doid	nci	icd10	orphanet	umls	mesh
MONDO:0004219	polyvesicular vitelline pattern testicular yolk sac tumor			7435	C39930			C1515311	
MONDO:0004220	endometrial endometrioid adenocarcinoma with spindled epithelial cells	sarcomatoid uterine corpus endometrioid adenocarcinoma		7436	C27850			C1336913	
MONDO:0004221	uterine corpus perivascular epithelioid cell tumor	body of uterus neoplasm with perivascular epithelioid cell differentiation | uterine corpus PEComa		7437	C40180			C1519862	
MONDO:0004222	ovarian clear cell cystadenocarcinoma			7438	C7980			C0279667	
MONDO:0004223	polyp of middle ear	middle Ear polyp | polyp of the middle ear	73103007	7439	C6933	H74.4		C0271466	
MONDO:0004224	chronic metabolic polyneuropathy			7441	C35602			C1333042	
MONDO:0004225	monoclonal gammopathy of uncertain significance	benign monoclonal gammopathy | monoclonal gammopathy of undetermined significance | monoclonal gammopathy Of undetermined significance (MGUS) | monoclonal gammopathy of undetermined significance (morphologic abnormality) | monoclonal gammopathy of unknown significance | monoclonal gammopathy, benign	277577000;58648008	7442	C3996			C0026470	D008998
MONDO:0004226	diffuse intraductal papillomatosis			7444	C7364			C1377912	
MONDO:0004227	epididymal adenomatoid tumor	adenomatoid neoplasm of epididymis | adenomatoid neoplasm of the epididymis | adenomatoid tumor of epididymis | adenomatoid tumor of the epididymis | adenomatoid tumour of epididymis | adenomatoid tumour of the epididymis | epididymis adenomatoid tumor | epididymis adenomatoid tumour	449052009	745	C6382			C1333415	
MONDO:0004229	acantholytic variant squamous cell breast carcinoma	squamous cell breast carcinoma, acantholytic variant		7459	C40359			C1519485	
MONDO:0004230	adenomatoid tumor	adenomatoid tumor (morphologic abnormality) | adenomatoid tumor NOS (morphologic abnormality) | adenomatoid tumor, benign | adenomatoid tumour (morphologic abnormality) | adenomatoid tumour NOS (morphologic abnormality) | benign localized epithelial mesothelioma		746	C3762			C0206675	D018254
MONDO:0004231	spindle cell variant squamous cell breast carcinoma	squamous cell breast carcinoma, spindle cell variant		7460	C40358			C1519487	
MONDO:0004232	large cell keratinizing variant squamous cell breast carcinoma	squamous cell breast carcinoma, large cell keratinizing variant		7461	C40357			C1519486	
MONDO:0004233	childhood pleomorphic rhabdomyosarcoma	childhood anaplastic rhabdomyosarcoma | paediatric pleomorphic rhabdomyosarcoma | pediatric pleomorphic rhabdomyosarcoma | pleomorphic childhood rhabdomyosarcoma | pleomorphic rhabdomyosarcoma of childhood		7463	C7959			C0279614	
MONDO:0004234	chronic lymphoproliferative disorder of NK-cells	chronic NK lymphocytosis | chronic NK-cell lymphocytosis | chronic NK-large granular lymphocyte lymphoproliferative disorder | chronic NK-LGL lymphoproliferative disorder | indolent large granular NK-cell lymphoproliferative disorder | indolent NK-cell lymphoproliferative disorder | natural killer-cell large granular lymphocyte leukaemia | natural killer-cell large granular lymphocyte leukemia | NK-cell large granular lymphocyte lymphocytosis | NK-cell lineage granular lymphocyte proliferative disorder | NK-LGL leukaemia | NK-LGL leukemia | NK-LGLL | NK-type lymphoproliferative disorder of granular lymphocytes	722955006	7465	C39591		512017	C1512709	
MONDO:0004235	diverticulitis	digestive tract diverticulum inflammation | inflammation of digestive tract diverticulum	307496006	7475	C26752			C0012813	D004238
